ΚΩΔ;ΠΕΡΙΦΕΡΕΙΑ;ΚΩΔ1;ΔΗΜΟΣ;ΑΝΔΡΕΣ;ΓΥΝΑΙΚΕΣ;ΣΥΝΟΛΟ
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9167;ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ;17.506;20.067;37.573
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9168;ΑΜΑΡΟΥΣΙΟΥ;22.309;25.885;48.194
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9169;ΒΡΙΛΗΣΣΙΩΝ;9.364;10.454;19.818
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9170;ΗΡΑΚΛΕΙΟΥ;16.047;17.800;33.847
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9171;ΚΗΦΙΣΙΑΣ;24.806;28.133;52.939
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9172;ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ;9.901;11.195;21.096
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9173;ΜΕΤΑΜΟΡΦΩΣΕΩΣ;9.201;9.940;19.141
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9174;ΝΕΑΣ ΙΩΝΙΑΣ;22.848;25.472;48.320
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9175;ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ;16.634;19.549;36.183
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9176;ΠΕΝΤΕΛΗΣ;11.475;12.805;24.280
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9177;ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ;12.499;14.669;27.168
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9178;ΧΑΛΑΝΔΡΙΟΥ;23.336;26.735;50.071
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9179;ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ;10.701;11.802;22.503
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9180;ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ;20.548;22.184;42.732
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9181;ΑΙΓΑΛΕΩ;28.617;31.200;59.817
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9182;ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ);24.798;26.554;51.352
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9183;ΠΕΡΙΣΤΕΡΙΟΥ;52.614;57.166;109.780
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9184;ΠΕΤΡΟΥΠΟΛΕΩΣ;17.849;19.402;37.251
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9185;ΧΑΙΔΑΡΙΟΥ;15.752;17.025;32.777
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9186;ΑΘΗΝΑΙΩΝ;216.409;260.896;477.305
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9187;ΒΥΡΩΝΟΣ;20.238;23.110;43.348
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9188;ΓΑΛΑΤΣΙΟΥ;17.281;19.120;36.401
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9189;ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ;14.144;16.109;30.253
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9190;ΖΩΓΡΑΦΟΥ;22.121;25.599;47.720
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9191;ΗΛΙΟΥΠΟΛΕΩΣ;27.706;30.517;58.223
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9192;ΚΑΙΣΑΡΙΑΝΗΣ;11.179;12.619;23.798
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9193;ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΟΣ;14.232;16.518;30.750
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9194;ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ;20.658;22.470;43.128
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9195;ΑΛΙΜΟΥ;14.331;16.248;30.579
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9196;ΓΛΥΦΑΔΑΣ;28.442;31.835;60.277
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9197;ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ;17.087;18.714;35.801
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9198;ΚΑΛΛΙΘΕΑΣ;34.683;41.695;76.378
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9199;ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ;16.962;18.911;35.873
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9200;ΝΕΑΣ ΣΜΥΡΝΗΣ;24.874;29.792;54.666
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9201;ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ;22.649;26.471;49.120
0905;ΠΕΙΡΑΙΩΣ ;9202;ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ;35.160;38.731;73.891
0905;ΠΕΙΡΑΙΩΣ ;9203;ΚΟΡΥΔΑΛΛΟΥ;23.549;26.067;49.616
0905;ΠΕΙΡΑΙΩΣ ;9204;ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ;44.031;50.401;94.432
0905;ΠΕΙΡΑΙΩΣ ;9205;ΠΕΙΡΑΙΩΣ;72.212;85.435;157.647
0905;ΠΕΙΡΑΙΩΣ ;9206;ΠΕΡΑΜΑΤΟΣ;11.305;11.953;23.258
0906;ΝΗΣΩΝ;9207;ΑΓΚΙΣΤΡΙΟΥ;536;515;1.051
0906;ΝΗΣΩΝ;9208;ΑΙΓΙΝΑΣ;6.391;6.829;13.220
0906;ΝΗΣΩΝ;9209;ΚΥΘΗΡΩΝ;3.597;3.636;7.233
0906;ΝΗΣΩΝ;9210;ΠΟΡΟΥ;2.190;2.388;4.578
0906;ΝΗΣΩΝ;9211;ΣΑΛΑΜΙΝΑΣ;15.207;16.105;31.312
0906;ΝΗΣΩΝ;9212;ΣΠΕΤΣΩΝ;2.111;2.192;4.303
0906;ΝΗΣΩΝ;9213;ΤΡΟΙΖΗΝΙΑΣ;4.059;4.050;8.109
0906;ΝΗΣΩΝ;9214;ΥΔΡΑΣ;1.573;1.622;3.195
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9215;ΑΧΑΡΝΩΝ;32.452;33.945;66.397
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9216;ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ;17.715;19.439;37.154
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9217;ΔΙΟΝΥΣΟΥ;12.490;13.524;26.014
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9218;ΚΡΩΠΙΑΣ;9.235;9.813;19.048
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9219;ΛΑΥΡΕΩΤΙΚΗΣ;9.734;10.263;19.997
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9220;ΜΑΡΑΘΩΝΟΣ;11.125;11.897;23.022
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9221;ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ;6.291;6.737;13.028
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9222;ΠΑΙΑΝΙΑΣ;8.367;8.956;17.323
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9223;ΠΑΛΛΗΝΗΣ;14.614;15.604;30.218
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9224;ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ;6.306;6.788;13.094
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9225;ΣΑΡΩΝΙΚΟΥ;10.476;11.201;21.677
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9226;ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ;11.088;11.620;22.708
0907;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;9227;ΩΡΩΠΟΥ;11.548;11.982;23.530
0908;ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;9228;ΑΣΠΡΟΠΥΡΓΟΥ;11.432;11.742;23.174
0908;ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;9229;ΕΛΕΥΣΙΝΑΣ;11.649;12.259;23.908
0908;ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;9230;ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ;8.635;9.210;17.845
0908;ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;9231;ΜΕΓΑΡΕΩΝ;13.545;14.481;28.026
0908;ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;9232;ΦΥΛΗΣ;16.038;16.944;32.982
1001;ΑΡΓΟΛΙΔΟΣ;9233;ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ;21.825;22.296;44.121
1001;ΑΡΓΟΛΙΔΟΣ;9234;ΕΠΙΔΑΥΡΟΥ;4.500;4.607;9.107
1001;ΑΡΓΟΛΙΔΟΣ;9235;ΕΡΜΙΟΝΙΔΑΣ;6.258;6.408;12.666
1001;ΑΡΓΟΛΙΔΟΣ;9236;ΝΑΥΠΛΙΕΩΝ;14.406;15.199;29.605
1002;ΑΡΚΑΔΙΑΣ;9237;ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ;7.509;7.495;15.004
1002;ΑΡΚΑΔΙΑΣ;9238;ΓΟΡΤΥΝΙΑΣ;13.495;13.333;26.828
1002;ΑΡΚΑΔΙΑΣ;9239;ΜΕΓΑΛΟΠΟΛΗΣ;8.467;8.381;16.848
1002;ΑΡΚΑΔΙΑΣ;9240;ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ;5.382;5.361;10.743
1002;ΑΡΚΑΔΙΑΣ;9241;ΤΡΙΠΟΛΗΣ;30.764;30.843;61.607
1003;ΚΟΡΙΝΘΙΑΣ;9242;ΒΕΛΟΥ - ΒΟΧΑΣ;8.656;9.182;17.838
1003;ΚΟΡΙΝΘΙΑΣ;9243;ΚΟΡΙΝΘΙΩΝ;24.401;25.714;50.115
1003;ΚΟΡΙΝΘΙΑΣ;9244;ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ;8.903;9.488;18.391
1003;ΚΟΡΙΝΘΙΑΣ;9245;ΝΕΜΕΑΣ;3.840;4.070;7.910
1003;ΚΟΡΙΝΘΙΑΣ;9246;ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ;10.208;11.463;21.671
1003;ΚΟΡΙΝΘΙΑΣ;9247;ΣΙΚΥΩΝΙΩΝ;12.452;12.798;25.250
1004;ΛΑΚΩΝΙΑΣ;9248;ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ;11.165;11.386;22.551
1004;ΛΑΚΩΝΙΑΣ;9249;ΕΛΑΦΟΝΗΣΟΥ;623;593;1.216
1004;ΛΑΚΩΝΙΑΣ;9250;ΕΥΡΩΤΑ;11.360;11.737;23.097
1004;ΛΑΚΩΝΙΑΣ;9251;ΜΟΝΕΜΒΑΣΙΑΣ;13.888;13.808;27.696
1004;ΛΑΚΩΝΙΑΣ;9252;ΣΠΑΡΤΗΣ;25.902;28.220;54.122
1005;ΜΕΣΣΗΝΙΑΣ;9253;ΔΥΤΙΚΗΣ ΜΑΝΗΣ;4.906;5.045;9.951
1005;ΜΕΣΣΗΝΙΑΣ;9254;ΚΑΛΑΜΑΤΑΣ;31.973;34.409;66.382
1005;ΜΕΣΣΗΝΙΑΣ;9255;ΜΕΣΣΗΝΗΣ;19.002;19.163;38.165
1005;ΜΕΣΣΗΝΙΑΣ;9256;ΟΙΧΑΛΙΑΣ;10.207;10.424;20.631
1005;ΜΕΣΣΗΝΙΑΣ;9257;ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ;14.666;15.543;30.209
1005;ΜΕΣΣΗΝΙΑΣ;9258;ΤΡΙΦΥΛΛΙΑΣ;16.970;17.580;34.550
1101;ΙΚΑΡΙΑΣ;9259;ΙΚΑΡΙΑΣ ;5.765;5.846;11.611
1101;ΙΚΑΡΙΑΣ;9260;ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ;862;917;1.779
1102;ΛΕΣΒΟΥ;9261;ΛΕΣΒΟΥ;49.677;55.143;104.820
1103;ΛΗΜΝΟΥ;9262;ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ;441;489;930
1103;ΛΗΜΝΟΥ;9263;ΛΗΜΝΟΥ;12.307;12.878;25.185
1104;ΣΑΜΟΥ;9264;ΣΑΜΟΥ;18.677;19.168;37.845
1105;ΧΙΟΥ;9265;ΟΙΝΟΥΣΣΩΝ;716;819;1.535
1105;ΧΙΟΥ;9266;ΧΙΟΥ;30.065;31.488;61.553
1105;ΧΙΟΥ;9267;ΨΑΡΩΝ;315;305;620
1201;ΑΝΔΡΟΥ;9268;ΑΝΔΡΟΥ;6.506;6.540;13.046
1202;ΘΗΡΑΣ;9269;ΑΝΑΦΗΣ;253;233;486
1202;ΘΗΡΑΣ;9270;ΘΗΡΑΣ;7.000;6.914;13.914
1202;ΘΗΡΑΣ;9271;ΙΗΤΩΝ;1.185;1.142;2.327
1202;ΘΗΡΑΣ;9272;ΣΙΚΙΝΟΥ;254;252;506
1202;ΘΗΡΑΣ;9273;ΦΟΛΕΓΑΝΔΡΟΥ;412;417;829
1203;ΚΑΛΥΜΝΟΥ;9274;ΑΓΑΘΟΝΗΣΙΟΥ;147;141;288
1203;ΚΑΛΥΜΝΟΥ;9275;ΑΣΤΥΠΑΛΑΙΑΣ;1.052;1.043;2.095
1203;ΚΑΛΥΜΝΟΥ;9276;ΚΑΛΥΜΝΙΩΝ;10.644;10.377;21.021
1203;ΚΑΛΥΜΝΟΥ;9277;ΛΕΙΨΩΝ;601;571;1.172
1203;ΚΑΛΥΜΝΟΥ;9278;ΛΕΡΟΥ;4.316;4.465;8.781
1203;ΚΑΛΥΜΝΟΥ;9279;ΠΑΤΜΟΥ;1.689;1.633;3.322
1204;ΚΑΡΠΑΘΟΥ;9280;ΚΑΡΠΑΘΟΥ;4.298;4.265;8.563
1204;ΚΑΡΠΑΘΟΥ;9281;ΚΑΣΟΥ;980;995;1.975
1205;ΚΕΑΣ-ΚΥΘΝΟΥ;9282;ΚΕΑΣ;1.158;1.243;2.401
1205;ΚΕΑΣ-ΚΥΘΝΟΥ;9283;ΚΥΘΝΟΥ;1.329;1.306;2.635
1206;ΚΩ;9284;ΚΩ;14.530;14.289;28.819
1206;ΚΩ;9285;ΝΙΣΥΡΟΥ;1.130;1.129;2.259
1207;ΜΗΛΟΥ;9286;ΚΙΜΩΛΟΥ;789;747;1.536
1207;ΜΗΛΟΥ;9287;ΜΗΛΟΥ;2.700;2.778;5.478
1207;ΜΗΛΟΥ;9288;ΣΕΡΙΦΟΥ;1.133;1.233;2.366
1207;ΜΗΛΟΥ;9289;ΣΙΦΝΟΥ;1.674;1.627;3.301
1208;ΜΥΚΟΝΟΥ;9290;ΜΥΚΟΝΟΥ;3.814;3.623;7.437
1209;ΝΑΞΟΥ;9291;ΑΜΟΡΓΟΥ;1.138;1.106;2.244
1209;ΝΑΞΟΥ;9292;ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ;10.541;10.840;21.381
1210;ΠΑΡΟΥ;9293;ΑΝΤΙΠΑΡΟΥ;605;579;1.184
1210;ΠΑΡΟΥ;9294;ΠΑΡΟΥ;6.179;6.300;12.479
1211;ΡΟΔΟΥ;9295;ΜΕΓΙΣΤΗΣ;735;859;1.594
1211;ΡΟΔΟΥ;9296;ΡΟΔΟΥ;48.958;48.713;97.671
1211;ΡΟΔΟΥ;9297;ΣΥΜΗΣ;2.286;2.047;4.333
1211;ΡΟΔΟΥ;9298;ΤΗΛΟΥ;522;543;1.065
1211;ΡΟΔΟΥ;9299;ΧΑΛΚΗΣ;385;389;774
1212;ΣΥΡΟΥ;9300;ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ;9.903;10.937;20.840
1213;ΤΗΝΟΥ;9301;ΤΗΝΟΥ;4.927;5.186;10.113
1301;ΗΡΑΚΛΕΙΟΥ;9302;ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ;9.255;9.399;18.654
1301;ΗΡΑΚΛΕΙΟΥ;9303;ΒΙΑΝΝΟΥ;3.264;3.507;6.771
1301;ΗΡΑΚΛΕΙΟΥ;9304;ΓΟΡΤΥΝΑΣ;9.508;9.582;19.090
1301;ΗΡΑΚΛΕΙΟΥ;9305;ΗΡΑΚΛΕΙΟΥ;59.934;64.260;124.194
1301;ΗΡΑΚΛΕΙΟΥ;9306;ΜΑΛΕΒΙΖΙΟΥ;10.699;10.711;21.410
1301;ΗΡΑΚΛΕΙΟΥ;9307;ΜΙΝΩΑ ΠΕΔΙΑΔΟΣ;9.633;9.837;19.470
1301;ΗΡΑΚΛΕΙΟΥ;9308;ΦΑΙΣΤΟΥ;11.281;11.124;22.405
1301;ΗΡΑΚΛΕΙΟΥ;9309;ΧΕΡΣΟΝΗΣΟΥ;9.874;9.440;19.314
1302;ΛΑΣΙΘΙΟΥ;9310;ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ;10.938;11.278;22.216
1302;ΛΑΣΙΘΙΟΥ;9311;ΙΕΡΑΠΕΤΡΑΣ;11.550;11.556;23.106
1302;ΛΑΣΙΘΙΟΥ;9312;ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ;1.793;1.930;3.723
1302;ΛΑΣΙΘΙΟΥ;9313;ΣΗΤΕΙΑΣ;9.594;9.891;19.485
1303;ΡΕΘΥΜΝΗΣ;9314;ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ;5.100;4.927;10.027
1303;ΡΕΘΥΜΝΗΣ;9315;ΑΜΑΡΙΟΥ;3.501;3.324;6.825
1303;ΡΕΘΥΜΝΗΣ;9316;ΑΝΩΓΕΙΩΝ;1.321;1.339;2.660
1303;ΡΕΘΥΜΝΗΣ;9317;ΜΥΛΟΠΟΤΑΜΟΥ;7.247;7.127;14.374
1303;ΡΕΘΥΜΝΗΣ;9318;ΡΕΘΥΜΝΗΣ;17.983;19.180;37.163
1304;ΧΑΝΙΩΝ;9319;ΑΠΟΚΟΡΩΝΟΥ;8.597;8.559;17.156
1304;ΧΑΝΙΩΝ;9320;ΓΑΥΔΟΥ;101;82;183
1304;ΧΑΝΙΩΝ;9321;ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ;3.661;3.619;7.280
1304;ΧΑΝΙΩΝ;9322;ΚΙΣΣΑΜΟΥ;6.609;6.546;13.155
1304;ΧΑΝΙΩΝ;9323;ΠΛΑΤΑΝΙΑ;10.983;10.988;21.971
1304;ΧΑΝΙΩΝ;9324;ΣΦΑΚΙΩΝ;1.594;1.556;3.150
1304;ΧΑΝΙΩΝ;9325;ΧΑΝΙΩΝ;37.540;40.534;78.074
